gmv,makers,active_skus,gmv_per_active_sku,sku_maker,orders,units,total_discounted_skus,discount_skus_10_to_20_percent,discount_days_10_to_20_percent,discount_skus_30_to_40_percent,discount_days_30_to_40_percent
1471.0,8,19,77.42,2.0,21,24.0,0,0,0,0,0
20958.0,24,130,161.22,5.0,154,239.0,0,0,0,0,0
41971.48,33,229,183.28,7.0,275,429.0,0,0,0,0,0
75126.29,42,378,198.75,9.0,650,952.0,305,305,14,0,14
137838.64,46,431,319.81,9.0,928,1382.0,316,116,10,182,10
197582.39,53,571,346.03,11.0,1598,2283.0,538,413,27,192,27
93668.53,51,440,212.88,9.0,998,1398.0,251,222,11,3,11
130417.48,57,495,263.47,9.0,1438,1827.0,327,274,11,13,11
155599.37,65,610,255.08,9.0,1284,1673.0,529,475,20,12,20
142379.55,68,610,233.41,9.0,1248,1636.0,359,313,11,6,11
180892.83,74,660,274.08,9.0,1450,1872.0,535,479,17,20,17
202458.42,85,880,230.07,10.0,1736,2344.0,709,660,18,12,18
875158.58,88,1451,603.14,16.0,4768,6510.0,1356,1115,24,201,24
266213.08,90,1042,255.48,12.0,1957,2598.0,832,743,13,86,13
208589.41,102,997,209.22,10.0,1692,2240.0,732,701,17,14,17
129774.35,94,759,170.98,8.0,1014,1364.0,620,607,11,5,11
